				Identificación	Usuario de correo UV. martsobm															
				Age	Edad en años.															
				Sex	Sexo: Femenino, Masculino															
				Wr.Hnd	Distancia del extremo del meñique al extremo del pulgar de la mano con la que escribimos. (en centímetros) PALMO															
				NW.Hnd	Mano con la que escribes: Izquierda, Derecha															
				Fold	Cruza los brazos. Qué brazo está arriba ?: Izquierdo, Derecho															
				Pulse	Cuál es tu ritmo cardíaco, en reposo, en latidos por minuto.															
				Clap 	Aplaude. ¿Cómo están las manos ?. 3 casos. 'Der s Izd', (Derecha sobre izquierda) ' Izq s Der', 'Ninguna'															
				Exer	Cuántos días a la semana realizas ejercicio físico. Numérica de 0-7															
				Smoke	Fumas: Si / No															
				Height	Altura (en centímetros)															
				ALG	Calificación numérica obtenida en álgebra. Usa NP para no presentado y NC, para no compensable, si procede															
				ANM	Calificación numérica obtenida en análisis matemático. Usa NA para no presentado y NC, para no compensable, si procede															
				FP	Calificación numérica obtenida en fundamentos de programación. Usa NA para no presentado y NC, para no compensable, si procede															
				DCS	Calificación numérica obtenida en Datos Ciencia y Sociedad. Usa NA para no presentado y NC, para no compensable, si procede															
				MD	Calificación numérica obtenida en Matemática Discreta. Usa NA para no presentado y NC, para no compensable, si procede															
				HSt	Horas de trabajo DIARIAS relacionadas con los estudios, además de la asistencia a clase. 															
				Hwork	¿Tienes un trabajo remunerado además del estudio ?. Indica las horas de trabajo SEMANALES. 0 indica que no tiene otro trabajo.															
				Comentarios	OBLIGATORIO: Campo de texto libre para incluir comentarios que consideres sobre la asignatura. 															
					Vuestos comentarios ayudarán a mejorar y permitirán procesar texto.															
					El primer valor es un ejemplo de registro															
				DEJAD EL MÍNIMO NÚMERO DE HUECOS POSIBLE																
																				
				 ES IMPORTANTE QUE LOS DATOS INCLUIDOS SEAN REALES PARA  PODER OBTENER CONCLUSIONES																
				Completa una fila de esta tabla con tus datos. Los utilizaréis para hacer un autoanálisis.																
		Id	Age	Sex	Wr.Hnd	NW.Hnd	Fold	Pulse	Clap	Exer	Smoke	Height	ALG	ANM	FP	DCS	MD	HSt	Hwork	Comentarios
Registro Ejemplo		martsobm	51	M	22	Derecha	Izquierdo	65	Der s Izq	2	No	178	NP	7	6	4	3,8	5	37,5	Es la primera toma de contacto con el análsis de datos reales. Me resultará de gran utilidad.
		liyan	19	F	20	Derecha	Izquierdo	75	Der s Izq	0	No	163	6,44	7,8	NA	NA	7,3	2	0	Me asusta la cantidadad de vocabularios nuevos de esta asignatura.
		aroce2	21	M	23	Derecha	Derecho	60	Der s Izd	4	Si	180	6,41	4	NS	NS	8	3	0	Estoy muy contento conforme esta planteado el grado en general, creo que las asignaturas se relacionan muy bien unas con otras y permiten tener una visión general de lo que es la ciencia de datos. Con ganas de seguir aprendiendo!
		naolca	19	M	22	Derecha	Izquierdo	50	Izq s Der	5	Si	188	6,135	8,04	NS	NS	6,5	5	0	lnteresante ampliar las nociones vistas en el primer cuatri sobre tratamiento de datos.
		pasanro2	18	M	23	Derecha	Derecho		Der s Izq	5	No	181	68	NC	NA	NA	5.8	1	10	Bastante bien. 
		vijecato	18	M	21	Derecha	Izquierdo	82	Der s Izq	7	No	168	7.6	8.8	no se sabe	no se sabe	7.0	4	0	Muy interesante
		jobaman	22	Masculino	21	Derecha	Derecha	79	Der s Izq	2	Si	182	6.27	NC	NS	NS	6.5	5	0	La asignatura es interesante
		masanm25	19	F	-81	Derecha	Derecho	80	Der s Izq	0	No									
		marloca4	18	F	16	Derecha	Derecho	106	Der s Izq	1	No	165	5.39	4			6.3	3	0	Me parece una asignatura muy interesante, en general, sobre el grado tengo la misma sensación. 
		alsanzpa	18	Masculino	17	Izquierda	Izquierdo	66	Der s Izq	4	No	178	7,55	7,85	NS	NS	4,1	5	0	Es interesante la toma de datos.
		mogano	18	Masculino	22	Izquierda	Derecho	60	Der s Izq	8	No	180	7.5	7.5	NS	NS	6		0	Me parece interesante la toma de datos.
		ropama3	18	Femenino	18	Derecha	Izquierdo	80	Izq s Der	5	No	157	7.38	08.04	NS	NS	7.1	1	0	Es una asignatura que no se te hace pesada.
		marlose3	18	F	21	Derecha	Derecho	65	Der s Izq	3	No	180	6.25	7.24			7	2	0	Me parece bastante interesante
		sanar4	19	Femenino	21	Izquierda	Derecho	69	Der s Izq	0	Si	160	7	7,95			7,9	2	0	Parece interesante.
		maroma29	18	Femenino	18	Derecha	Derecho	61	Der s Izq	3	No	169	6.75	7.7			6.5	2	0	Interesante
		alquisa	18	M	22	Derecha	Izquierdo	80	Der s Izq	4	No	178	4	NP	NP	NS	4	2	0	Los distintos tipos de datos y como se trabajan.
